Name,club,facebook,twitter,instagram,pinterest,logo,Photo,Street,City,State,Zip,Appointment_url,Phone,Food,Tour,Family,Pets,Picnic,Website,Email,Fee,Appointment,Open,Close,atmosphere_id,Bio
32 Winds Wine,http://32windswine.com/wine-club/,https://www.facebook.com/32WindsWine,,https://instagram.com/32WindsWine/,,http://wine.philbrook.org/images/data/attachments/0000/1918/32Winds_logo_mxw235_mxh150_e1.png?1436811545,http://cdn.sonomacounty.com/sites/default/master/files/styles/sliderkit_main_slide/public/zzdata-32-winds-wine-20.jpg?itok=mNofdhW8,1010 Dry Creek Road,Healdsburg,CA,95448,https://admin.vinovisit.com/widget/search?wineryID=47&affiliate=32windswine.com&styleName=a32winds,707-433-1010,,,,Yes,Yes,http://32winds.com/,sherry@32windswine.com,15.00,Yes,,,,"32 Winds is a small family established winery, committed to making exceptional wines, located in Dry Creek Valley two miles from the Healdsburg Plaza. The winery and tasting room are nestled alongside the Steelhead Run section of Dry Creek, with beautiful picnic areas and bocce under the walnut trees, reserved for Wine Club Members to enjoy.  Our famous warm and welcoming hospitality is waiting for you!"
A. Rafanelli Winery,,,,,,http://www.sonomawine.com/barrelauction/wp-content/uploads/2015/03/Rafanelli1-wpcf_500x1298.jpg,http://www.arafanelliwinery.com/wp-content/uploads/2010/03/Grapes-waiting-to-be-crushed-e1269479398319.jpg,4685 W. Dry Creek Road,Healdsburg,CA,95448,,707-433-1385,,,Yes,Yes,Yes,http://www.arafanelliwinery.com,,0.00,Yes,10:00,16:00,,"Since the early 1900’s the Rafanelli family has been growing grapes and making wine in the Dry Creek Valley.  Four generations later they are still keeping with the tradition, growing premium grapes and producing world class wines.  The winery is small, and being family owned and operated, production is limited, with the focus on quality not quantity!  The family prides themselves on producing consistently exceptional wines year in and year out, specializing in some of the finest Zinfandel, Cabernet Sauvignon, and Merlot.  Open daily by appointment except some holidays.  Parties of 6 or less are welcome."
ACORN Winery / Alegria Vineyards,http://www.acornwinery.com/acorn-wine-club/,https://www.facebook.com/acornwinery,,https://instagram.com/acornwinery/,,https://eastsidebunch.files.wordpress.com/2011/09/acorn_logo_2011.jpg,http://www.acornwinery.com/userfiles/image/gallery/Bill-moving-barrels.jpg,12040 Old Redwood Highway,Healdsburg,CA,95448,https://admin.vinovisit.com/widget/search?wineryID=4672,707-433-6440,,,Yes,Yes,Yes,http://www.acornwinery.com,nachbaur@acornwinery.com,10.00,Yes,11:00,17:00,,"We're a small family winery producing field-blended wines made from grapes grown in our sustainably-farmed Alegría Vineyards. We are located just south of Healdsburg, California in Sonoma County's Russian River Valley. We are open daily by appointment and for special tasting events. Happy to have children and pets visit too."
Adobe Road Winery,http://www.adoberoadwines.com/html/club.php,https://www.facebook.com/AdobeRoadWines,https://twitter.com/adoberoadwines,,,http://www.gt4challenge.com/images/logo_arw.png,http://www.adoberoadwines.com/images/gpic03.jpg,1995 S. McDowell Boulevard,Petaluma,CA,94954,,707-939-7967,,,Yes,Yes,Yes,http://www.adoberoadwines.com,info@adoberoadwines.com,,Yes,,,,"Adobe Road is a boutique winery producing artisan wines from premium vineyards in both Sonoma and Napa. We maintain collaborative relationships with our growers and carefully select vineyard sites based on their suitability for particular varietals. Our wines are handcrafted in small lots with minimal intervention, including fermentation with native yeasts. We believe that these methods, combined with the distinctive nature of our vineyards, lead to expressive wines of the absolute highest quality.  The tasting room is located in the center of the race shop, offers an exciting and unique experience for visiting guests. In addition to the new winemaking facility, many of the cars, trophies, photos and posters from Kevin’s racing career are on display."
Adobe Road Winery Tasting Room,http://www.adoberoadwines.com/html/club.php,https://www.facebook.com/AdobeRoadWines,https://twitter.com/adoberoadwines,,,http://www.gt4challenge.com/images/logo_arw.png,http://www.adoberoadwines.com/images/sonoma_tasting_room.jpg,481 1st Street West,Sonoma,CA,95476,https://admin.vinovisit.com/widget/search?wineryID=3351,707-939-9099,,,,Yes,Yes,http://www.adoberoadwines.com,info@adoberoadwines.com,20.00,No,11:00,19:00,,"The Adobe Road tasting room is located in the heart of Sonoma Valley on the historic Sonoma Plaza.  Visitors can enjoy tastes of current releases, be surprised by a few gems from our Library wines or just sit down and relax with a bottle of Adobe Road in our warm and inviting wine lounge.  The tasting room also offers a beautiful patio in which to kick your feet up and enjoy the fruits of our labor.  Visitors are often greeted by Michael Scorsone, our winemaker, and are treated by having access to a personal tasting with him.  Open daily.  Reservations appreciated for groups of 6 or more."
Adrian Fog Winery,,,,,,http://www.christies.com/lotfinderimages/d19452/d1945280r.jpg,http://blog-imgs-44-origin.fc2.com/m/a/s/masamunote/IMG_9738.jpg,2064 Gravenstein Hwy N,Sebastopol,CA,95472,,707-431-1174,,,Yes,,,http://www.adrianfog.com,adrianfog@adrianfog.com,5.00,Yes,,,,"Adrian Fog was born from the idea that Pinot Noir should have a sense of place and that the vineyard is the birthplace of great wine. All of our vineyards are selected for their individuality. By hand selecting cool climate fruit from small vineyards, Adrian Fog is able to maintain the unique signature and personality of the vineyard. Each vineyard is selected by considering the effect of coastal fog patterns, clonal differences, age and vine orientation to the sun. Picking, fermentation and barrel ageing are done by keeping all clones and blocks separate. By this madness, we are able to learn and appreciate each wine's nuances and style intimately. Our bottlings are determined by the wine's individuality, our largest bottling is 330 cases and the smallest is 23 cases. Picking, racking, and bottling are scheduled as close to the night of the full moon as possible. We have found that she (Adrian Fog) likes and enjoys the effects of the lunar cycle. We encourage you to drink Adrian Fog on the night of a full moon to enjoy her full seductive essence."
Albini Family Vineyards,,,,,,http://wine.appellationamerica.com/images/wineries/web_label-Albini.jpg,http://www.albinifamilyvineyards.com/uploads/4/9/2/1/4921119/3173927_orig.jpg,886 Jensen Lane,Windsor,CA,95492,,707-838-9249,,,,,,http://www.albinifamilyvineyards.com,afvwines@cs.com,,Yes,,,,"Albini Family Vineyards was established in 1991 and produces about 500 cases of handmade wine each year.  Although we are small, our Merlot and Zinfandel wines receive national attention for their high quality and unique style."
Alexander Valley Vineyards,http://www.avvwine.com/scripts/display_product.php?product_id=24,https://www.facebook.com/alexandervalleyvineyards,https://twitter.com/avvwinery,,,http://media.montrosetravel.com/montrosetravel/images/group-travel/AlexanderValleyVin_Wine_Cruises.jpg,http://www.avvwine.com/images/materials/AVV_entry.jpg,8644 Highway 128,Healdsburg,CA,95448,http://www.cellarpass.com/alexander-valley-vineyards-profile,707-433-7209 ,,Yes,Yes,Yes,Yes,http://www.avvwine.com,tr@avvwine.com,0.00,No,10:00,17:00,,"Alexander Valley Vineyards is a family-owned and operated winery located in the heart of Sonoma's Alexander Valley, on the historic site originally settled in the 1840’s by valley namesake, Cyrus Alexander.   With vineyards that stretch from the banks of the Russian River to the Mayacamas hillsides the Wetzel Family continues the tradition of family farming on the property.  Our wines reflect the unique character of the region and we are known for elegant Cabernet Sauvignon, a trio of iconic Zinfandels – Sin Zin, Temptation & Redemption, luscious Chardonnay, rich Merlot and our flagship, CYRUS – the first growth of Sonoma.  AVV's vineyard practices were initially recognized by the California Sustainable Winegrowing Alliance in March 2006 and in 2010 we were recognized as a certified ""Sonoma Green Business"".  Visit our tasting room daily except major holidays. Complimentary cave tours are available daily at 11am and 2pm."
Amapola Creek Vineyards and Winery,http://www.amapolacreek.com/shop/Wine-Club/Richard-s-Reserve-Club,https://www.facebook.com/amapolacreek,https://twitter.com/AmapolaCreek,,,http://winewatch.com/images/image008_0225.jpg,http://www.amapolacreek.com/assets/upload/gallery/000015-large.jpg,392 London Way,Sonoma,CA,95476,,707-938-3783,,,,,,http://www.amapolacreek.com,info@amapolacreek.com,40.00,Yes,,,,Tour reservations available.  Weekdays at 10.30am and 1pm are preferred.  One Saturday a month is available.
Amista Vineyards,http://www.amistavineyards.com/club/club-benefits/,https://www.facebook.com/AmistaVineyards,,,https://www.pinterest.com/amistavineyards/,http://www.amistavineyards.com/images/logo.png,http://www.amistavineyards.com/media/2983/Tasting-2.jpg,3320 Dry Creek Road,Healdsburg,CA,95448,,707-431-9200,,,Yes,Yes,Yes,http://www.amistavineyards.com,tr@amistavineyards.com,10.00,No,11:00,16:30,,"An artisan, family owned winery showcasing the fabulous fruit and friendly spirit of Dry Creek Valley. Located near the charming village of Healdsburg in Sonoma County, California. Amista ~ making friends. Open daily"
Amorosa Bella at Cellars of Sonoma,,,,,,http://tesken.com/wp-content/uploads/2013/10/amorosa-bella.jpeg,http://www.cellarsofsonoma.com/images/stories/AB_Color_logo.jpg,133 4th Street,Santa Rosa,CA,95401,,707-578-1826,Yes,,Yes,,,http://www.cellarsofsonoma.com/,info@cellarsofsonoma.com,15.00,No,11:00,22:30,,"Embracing and exploring all of the senses - touch, taste, smell, sight, sound and your natural intuition, is key to experiencing the richness of life. AMOROSA BELLA offers ways to reconnect with authentic sensual living.We invite you to discover conversations, events and products that bring greater pleasure to everyday life.  Located at the Cellars of Sonoma.  Open daily; Opens at 3pm and closes at 8:30pm Sunday thru Wednesday."
Amphora Wines,http://www.amphorawines.com/Wine-Clubs/Sign-Up,https://www.facebook.com/AmphoraWinery,https://twitter.com/AmphoraWinery,,,https://pbs.twimg.com/profile_images/714399454/color_logo_with_pottery_compressed.jpg,https://pbs.twimg.com/profile_images/714399454/color_logo_with_pottery_compressed.jpg,4791 Dry Creek Road,Healdsburg,CA,95448,http://www.amphorawines.com/assets/client/File/Group%20Tasting%20Request%20Form%2009_17_14.pdf,707-431-7767,,,Yes,,Yes,http://www.amphorawines.com,,10.00,No,11:30,16:30,,"Amphora was founded by Rick Hutchinson in 1996 and he has been producing fine wines in Dry Creek Valley, Sonoma County, CA since 1997.  Rick and the staff love to host friends old and new at the winery. We’re open seven days a week (except major holidays*) for individuals and groups fewer than eight.  Reservations required for larger groups."
