Winery,Aglianico,Barbera,Cabernet Sauvignon,Cab Franc,Carignane,Cinsault,Dolcetto,Grenache,Merlot,Malbec,Mourvedre,Petite Sirah,Petit Verdot,Pinot Noir,Primitivo,Red Blend,Red Dessert,Sangiovese,Syrah,Tempranillo,Zinfandel,Sparking / Champagne,Albarino,Chardonnay,Chenin Blanc,Gewürztraminer,Grenache Blanc,Marsanne,Pinot Blanc,Pinot Gris,Riesling,Rosé,Roussanne,Sauvignon Blanc,Semillon,Vermentino,Viognier,White Blend,White Dessert
32 Winds Wine,,,Yes,,,,,,,,,,,Yes,,,,,,,Yes,,,Yes,,,,,,,,,,Yes,,,,,
A. Rafanelli Winery,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
ACORN Winery / Alegria Vineyards,,,,Yes,,,Yes,,,,,,,,,Yes,,Yes,Yes,,Yes,,,,,,,,,,,Yes,,,,,,,
Adobe Road Winery,,,Yes,Yes,,,,Yes,,,,Yes,,Yes,,,,,Yes,,Yes,,,,,,,,,,,,,Yes,Yes,,Yes,,
Adobe Road Winery Tasting Room,,,Yes,Yes,,,,Yes,,,,Yes,,Yes,,,,,Yes,,Yes,,,,,,,,,,,,,Yes,Yes,,Yes,,
Adrian Fog Winery,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
Albini Family Vineyards,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
Alexander Valley Vineyards,,,Yes,Yes,,,,,Yes,,,,,Yes,,Yes,,,Yes,,Yes,,,Yes,,Yes,,,,,,Yes,,,,,,,
Amapola Creek Vineyards and Winery,,,Yes,,,,,,,,,Yes,,,,Yes,,,,,Yes,,,Yes,,,,,,,,Yes,,,,,,,
Amista Vineyards,,,Yes,,,,,,,,,,,,,Yes,Yes,,Yes,,Yes,Yes,,Yes,,,,,,,,Yes,,,,,,,
Amorosa Bella at Cellars of Sonoma,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Amphora Wines,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,
Anaba Wines,,,,,,,,Yes,,,Yes,Yes,,Yes,,Yes,Yes,,Yes,,,,,Yes,,,Yes,,,,Yes,Yes,,,,,Yes,Yes,Yes
Ancient Oak Cellars,,,Yes,,,,,,,,,,,Yes,,Yes,,,,,Yes,,,Yes,,,,,,,,Yes,,,,,,,
Annadel Estate Winery,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,Yes,,,,,,,,Yes,,,,,,,
Annapolis Winery,,Yes,Yes,,,,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,Yes,,,,,,,
Annex Wine Bar,,,,,,,,,,,,,,Yes,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,
Arbios Cellars / Praxis - Locals Tasting Room,,,Yes,,,,,,Yes,,,,,Yes,,,,,Yes,,,,,,,Yes,,,,,,Yes,,Yes,,,Yes,,
Arista Winery,,,,,,,,,,,,,,Yes,,,,,,,Yes,,,Yes,,Yes,,,,,Yes,,,,,,,,
Armida Winery,,,,,,,,,,,,Yes,,Yes,,Yes,,,,,Yes,,,Yes,,,,,,,,,,Yes,,,,Yes,
Arrowood Vineyards & Winery,,,Yes,,,,,,Yes,Yes,,,,,,Yes,,,Yes,,,,,Yes,,,,,,,Yes,Yes,,,,,Yes,,
Ashton Vineyard,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,
